# QSO name		index	zQ	zMgII	zMAP	Continua	log(N_{HI})	v_disp
J020329.8-091020	0024	1.579	1.0275	1.0306	34.724		21.228		276.181	
J021259.2+132619	0037	1.623	1.3207	1.3186	23.730		21.105		346.444
J035856.6-054023	0068	1.505	0.4119	---	---		---		---	
J083220.7+043417	0132	1.511	0.5596	1.462	76.286		17.559		31.283
J084549.7+175922	0144	1.479	1.4624	1.445	57.042		18.132		30.522
J095949.3+020140	0200	1.753	1.7366	1.707	15.906		17.671		57.099
J100120.7+555352	0219	1.417	1.3910	1.383	284.992		20.087		26.108
J101330.1+531559	0245	1.509	1.2930	1.304	360.888		17.367		36.579
J110211.8+284041	0381	1.742	1.1511	1.686	56.093		18.448		100.965
J120420.0+170901	0465	1.333	1.304	1.215	669.731		18.277		14.929	
J122528.5+131725	0593	1.795	1.5775	1.580	70.298		17.493		12.594
